,Cases,Deaths
2021-04-15,1081862.4285714286,31838.14285714286
2021-04-16,1088846.7142857143,31979.428571428572
2021-04-17,1095821.857142857,32121.714285714286
2021-04-18,1102710.2857142857,32260.571428571428
2021-04-19,1109627.4285714286,32393.85714285714
2021-04-20,1116445.2857142857,32521.714285714286
2021-04-21,1123179.0,32649.428571428572
2021-04-22,1129839.2857142857,32777.28571428572
2021-04-23,1136495.142857143,32903.28571428572
2021-04-24,1142989.857142857,33027.57142857143
2021-04-25,1149392.4285714286,33154.28571428572
2021-04-26,1155717.2857142857,33281.42857142857
2021-04-27,1161908.2857142857,33404.42857142857
2021-04-28,1168032.2857142857,33527.28571428572
2021-04-29,1174128.142857143,33648.142857142855
2021-04-30,1180177.142857143,33769.0
2021-05-01,1186169.142857143,33890.71428571428
2021-05-02,1192081.142857143,34011.57142857143
2021-05-03,1197824.142857143,34132.857142857145
2021-05-04,1203437.2857142857,34256.0
2021-05-05,1208962.7142857143,34376.28571428572
2021-05-06,1214428.0,34496.0
2021-05-07,1219789.857142857,34617.28571428572
2021-05-08,1225107.142857143,34737.0
2021-05-09,1230328.4285714286,34856.0
2021-05-10,1235613.142857143,34973.57142857143
2021-05-11,1240967.7142857143,35091.42857142857
2021-05-12,1246324.7142857143,35210.28571428572
2021-05-13,1251660.857142857,35328.71428571428
2021-05-14,1257052.0,35444.71428571428
2021-05-15,1262520.0,35561.0
2021-05-16,1268102.7142857143,35678.142857142855
2021-05-17,1273715.2857142857,35796.57142857143
2021-05-18,1279331.857142857,35915.42857142857
2021-05-19,1285072.0,36039.142857142855
2021-05-20,1291030.5714285714,36164.142857142855
2021-05-21,1297087.2857142857,36292.42857142857
2021-05-22,1303253.142857143,36421.0
2021-05-23,1309448.857142857,36550.71428571428
2021-05-24,1315615.2857142857,36681.857142857145
2021-05-25,1321838.0,36816.71428571428
2021-05-26,1328122.142857143,36950.857142857145
2021-05-27,1334466.7142857143,37087.857142857145
2021-05-28,1340962.142857143,37228.28571428572
2021-05-29,1347582.5714285714,37372.42857142857
2021-05-30,1354381.0,37521.142857142855
2021-05-31,1361393.142857143,37671.28571428572
2021-06-01,1368526.857142857,37824.42857142857
2021-06-02,1375720.4285714286,37976.71428571428
2021-06-03,1382917.2857142857,38131.0
2021-06-04,1390055.142857143,38281.142857142855
2021-06-05,1397270.857142857,38427.857142857145
2021-06-06,1404477.857142857,38573.28571428572
2021-06-07,1411697.5714285714,38720.28571428572
2021-06-08,1418991.857142857,38865.42857142857
2021-06-09,1426248.5714285714,39014.57142857143
