date,DifAcumModTot,DifAcumDatTot,DifFalleModTot,DifFalleDatTot,DifAcumModTotPor,DifAcumDatTotPor,DifFalleModTotPor,DifFalleDatTotPor
2021-09-05,-26.90971483523026,647.0028890979011,2.731394282578549,-22.875957992589974,1.982862128191835,24.466313645842813,1.9955614781474635,28.09738472808845
2021-09-06,-20.294371662894264,728.6288673381787,3.2309603480243823,-15.842098053100926,2.288736605010285,51.99759270803094,2.2493740562861033,71.34513680691813
2021-09-07,-12.856350727612153,897.6125687828753,3.780452358783805,1.5865650775958784,2.565362272543132,23.984731434688296,2.5165885636545435,70.63198875020728
2021-09-08,-4.7230859328992665,973.6541375999805,4.380292770030792,18.42202312227164,2.8337602636653036,-2.150655518431798,2.7962886597705836,-59.09658702718714
2021-09-09,4.043066753773019,967.0011490276083,5.030606408712629,4.67833596427954,3.125288089595128,-7.323678159011513,3.0892495851108133,16.267018784330983
2021-09-10,13.47801492549479,944.8916596379131,5.731593537857407,8.36951418837998,3.5382442971359636,-5.1778407697599205,3.395313508620436,-3.8823280500560826
2021-09-11,23.906596878543496,929.6305492473766,6.483330740556994,7.509949844497896,4.061742654808978,30.47911610386838,3.719160437787863,-43.49144208517925
2021-09-12,35.591553763952106,1017.3138881111518,7.2868209828739055,-1.8859742959830328,4.524048879699522,17.973877367945242,4.06088425899948,0.37720211173932533
2021-09-13,48.27691799844615,1067.712366814958,8.142835582410044,-1.8064619301949278,4.933331345310012,34.50932891791216,4.4159181020528395,100.0
2021-09-14,61.76076686149463,1162.0337376948446,9.050973613659153,18.758639375169878,5.379119688885768,-7.9954239205065525,4.783730711729083,60.12404878702653
2021-09-15,76.10569384228438,1140.7117038019933,10.010696066157834,30.820856718331925,5.883494035583508,-35.215349565283816,5.164836683132933,-63.49743316964277
2021-09-16,91.42192759225145,1049.0371780411806,11.021566822084424,18.39302943054645,6.449305604022096,-38.06631302745026,5.559671601959409,-30.921522744276317
2021-09-17,107.81771753821522,952.262841277523,12.083208843469038,12.488438249485625,7.0389666054899855,-40.54860573289806,5.967866796727142,-12.709743179964432
2021-09-18,125.29636367992498,851.5755144485738,13.195137583570613,10.120367848037858,7.62760762449001,-16.69167008284195,6.387468916358274,-10.0027077171069
2021-09-19,143.79479596903548,811.0949674644507,14.356466981531412,8.301738484326052,8.183053042909346,16.342575802483967,6.817799146889664,54.909989288123334
2021-09-20,163.16240760707296,849.7744993760716,15.56610060800449,18.044027460746292,8.691366862521228,10.381074189516864,7.256671776179612,59.56932495257948
2021-09-21,183.23755272035487,873.7524966327474,16.822490771504818,28.357614215827198,9.201201099059293,-73.39505237593669,7.703865868535373,70.40614463956192
2021-09-22,203.98595113446936,708.2491268089507,18.124089663353516,40.25301340968872,9.71578857148495,-164.73786670559542,8.160451102836026,-88.01467310474074
2021-09-23,225.38185043539852,345.4669623814989,19.469590947963297,25.741088243470585,10.23633320620309,-147.3105495138071,8.62614301087996,19.212562327706042
2021-09-24,247.40165216405876,28.581117861671373,20.85767630346527,28.832698987127515,10.814464901418935,-134.5048499380113,9.100259356684806,42.697896587742456
2021-09-25,270.13692266191356,-254.18868854944594,22.286983943726227,35.53892871354765,11.457410072590491,-136.06472539193732,9.584922508762155,47.82111489280051
