date,DifAcumModB2,DifAcumDatB2,DifFalleModB2,DifFalleDatB2,DifAcumModB2Por,DifAcumDatB2Por,DifFalleModB2Por,DifFalleDatB2Por
2021-10-20,1125.6365796709433,,25.713620365910174,,23.27453852715707,-0.6388575232742545,24.312068565432785,25.51412112254874
2021-10-21,1402.695539219305,,29.63040066281974,,25.291103995891646,-11.276321227303523,25.82844667615605,34.746583255505655
2021-10-22,1717.026534713572,,33.984393566366634,,27.032099050226048,-0.41111138888467325,27.352217356148095,37.61202497575247
2021-10-23,2067.8126636114903,,38.807027908973396,,28.610417937295335,6.721609594737176,28.87144938991396,62.035942449436256
2021-10-24,2456.1211341076996,,44.130488012262504,,30.097425218907937,25.20197666777031,30.375924967887755,17.024535915872114
2021-10-25,2883.4514853458386,,49.9878195120109,,31.587220756475606,43.79679543090787,31.866650880469486,70.24805917974359
2021-10-26,3352.7366361459717,,56.414287836814765,,33.33494693984932,17.195536637548013,33.34829963418817,71.55534237445784
2021-10-27,3871.252304445021,,63.448642070892674,,35.32546983184414,11.742888714065105,34.84518966104598,0.3001035418715371
2021-10-28,4446.420689278049,,71.1376588078856,,37.1141059418721,3.4473676301068967,36.355288894721525,56.67698140670044
2021-10-29,5077.977536209859,,79.52933835265867,,38.71884507331115,19.772383490944264,37.857612619415235,42.00756263260538
2021-10-30,5766.6654758967925,,88.66857444501511,,40.35707810032569,23.655663340334534,39.35005740782775,44.54934475262313
2021-10-31,6517.833283355925,,98.6035481843137,,42.08378482976404,41.0457333511151,40.83630820359886,24.266151640424717
2021-11-01,7338.032931625377,,109.38771116774296,,43.90864776998676,54.35516707422658,42.32154162927611,81.90221634844534
2021-11-02,8234.582597787492,,121.08017651159753,,45.7487192143829,53.26668098187664,43.80741076177204,72.3280508887206
2021-11-03,9213.514121924294,,133.74496151408675,,47.543654736812854,32.79776105032621,45.289154779058094,86.78084790000807
2021-11-04,10279.673357214546,,147.44906429964612,,49.20305724300964,25.049749604231117,46.76163080988755,36.858036864279605
2021-11-05,11435.071508527268,,162.2606502838753,,50.707442386365194,23.751856609912423,48.21359046546674,18.569978296070158
2021-11-06,12682.006191094173,,178.2469771364049,,52.15904243629294,30.25080856838289,49.641889488372136,39.50189564807821
2021-11-07,14025.818174203858,,195.47858613346762,,53.56748378727078,41.86092878758995,51.04736325905476,53.22512286125497
2021-11-08,15472.366042826558,,214.03139115377417,,54.95044057506861,55.81672696767554,52.4292470632303,89.49029489835993
2021-11-09,17028.22635922092,,233.98599370681768,,56.41156695823648,42.43516229617846,53.7895010481355,69.89912891670825
2021-11-10,18703.96772055165,,255.42969248854206,,57.93474208114306,40.70679946478841,55.13633657297595,47.328476238668266
2021-11-11,20509.62844386464,,278.45920289537753,,59.31480959315757,41.98207727747227,56.46850404352653,56.589337793954186
2021-11-12,22448.010131993564,,303.17436553755397,,60.543127490158824,47.76217245365599,57.77367437201058,67.29653895694373
2021-11-13,24522.602497291286,,329.67324632693635,,61.751021502695856,49.62146224480584,59.05054492657565,50.07412601686263
2021-11-14,26742.418810436502,,358.05959122530476,,62.956234333572006,60.87242990544875,60.30191251004355,48.40222800709852
2021-11-15,29117.301831585122,,388.44558784308174,,64.15084561470933,69.79566270772798,61.52961253513901,92.4284579643747
2021-11-16,31657.480436159996,,420.95131111352384,,65.3889617167389,62.94339241026506,62.7338581384875,80.144108500774
2021-11-17,34376.68212674884,,455.7053507168457,,66.66735437650594,60.70961597374141,63.92011850804066,43.208854828645904
2021-11-18,37288.3660653336,,492.84782960859593,,67.84134534862596,61.087913257476494,65.08738305346063,50.785376340210604
2021-11-19,40398.683969967766,,532.523465555787,,68.90987901304402,61.814135535005654,66.227435208448,76.5451399980199
2021-11-20,43715.522789790295,,574.877652621617,,69.95326908974148,63.52607536840663,67.33970798343177,65.72467056654634
